percent stance,6Blarge,6A,force,dFdt,6Ball
0,14.7376,0,0,0,64.9485
2.5,0,0,0.0203,1.0211,31.2956
5,0,0,0.0407,1.0238,57.5615
7.5,11.2018,0,0.0729,1.6183,94.149
10,52.1715,0,0.1406,3.4014,156.1229
12.5,8.2762,0,0.2144,3.708,107.3812
15,0,0,0.2204,0.2999,74.4399
17.5,56.0165,0,0.2423,1.1029,149.7071
20,79.8947,0,0.3785,6.846,176.5463
22.5,40.7747,0,0.5074,6.4746,156.5066
25,106.6131,0,0.6414,6.7363,182.2369
27.5,129.6542,0,0.9282,14.4102,216.7488
30,79.7065,0.4224,1.3079,19.0771,159.2937
32.5,11.278,0,1.5204,10.6796,113.1368
35,5.9451,1.2985,1.5759,2.7902,87.4902
37.5,0,0,1.4496,-6.3426,23.7177
40,0.9074,17.4266,1.0879,-18.1801,17.2519
42.5,15.0035,1.2673,0.9546,-6.6968,72.1421
45,74.3014,0,1.142,9.4163,145.3149
47.5,22.93,0,1.3513,10.5168,103.702
50,0,0,1.3555,0.2115,32.9057
52.5,0,0,1.1578,-9.9363,4.4378
55,62.2675,0,1.1418,-0.8026,146.0629
57.5,123.3237,0,1.4758,16.7845,200.349
60,42.1345,0,1.7949,16.0371,133.7455
62.5,3.5426,0,1.8726,3.9062,91.277
65,0,0,1.7056,-8.3984,22.3843
67.5,0,0,1.4618,-12.2476,18.9493
70,13.1887,0,1.4504,-0.5733,108.8407
72.5,0,0,1.5641,5.7128,69.4349
75,0,0,1.5537,-0.524,54.593
77.5,0,0,1.53,-1.1874,63.9347
80,0.8448,0,1.5534,1.1731,67.9323
82.5,0,0,1.5321,-1.0696,18.2688
85,0,0,1.4418,-4.536,8.33
87.5,0,0,1.4053,-1.8346,15.2538
90,0,1.3611,1.311,-4.741,0
92.5,0,38.3733,1.1032,-10.44,0
95,0,39.0782,0.8466,-12.8954,1.6897
97.5,0.4537,65.3529,0.3094,-26.9964,2.6597
