percent stance,6B,6A,force,dFdt
0,76.1798,0.4474,0,0
2.5,44.3687,7.7556,-0.2299,-11.5542
5,0,31.1333,-0.2183,0.5836
7.5,0,113.6389,0.1216,17.0805
10,0.8251,133.0581,0.7178,29.9622
12.5,0,43.8489,1.3712,32.8314
15,1.3421,0,1.3166,-2.7427
17.5,43.7994,9.231,0.7692,-27.5054
20,0.3778,15.4889,0.4673,-15.1715
22.5,0,52.0934,0.6543,9.3937
25,0,65.5464,0.8659,10.6337
27.5,0,70.7145,1.2088,17.2331
30,0,44.8895,1.5131,15.2934
32.5,0,6.7333,1.57,2.8557
35,0,0,1.4182,-7.6276
37.5,0,115.4178,1.4018,-0.8249
40,0,54.4417,1.9437,27.2347
42.5,0,0,1.8956,-2.4176
45,22.307,0,1.1397,-37.985
47.5,0,37.9211,1.0112,-6.4596
50,0,39.9604,1.3011,14.5691
52.5,0,16.6667,1.4044,5.1887
55,0,0,1.2719,-6.6538
57.5,0,31.2889,1.141,-6.5831
60,0,37.7719,1.3383,9.9156
62.5,0,29.3333,1.464,6.3173
65,0,21.8784,1.5448,4.0598
67.5,0,0.3778,1.4937,-2.568
70,7.1579,0,1.1852,-15.5021
72.5,0.4474,0,0.9701,-10.8076
75,0,0,0.8883,-4.1119
77.5,0,68.5891,0.9122,1.2019
80,0,90.3042,1.3247,20.7249
82.5,0,1.7895,1.6091,14.2948
85,4.0263,0,1.2731,-16.8851
87.5,8.0526,0.8947,0.9923,-14.1063
90,22.9871,0.4474,0.7749,-10.9275
92.5,4.1111,0,0.5756,-10.0176
95,0,0,0.6454,3.5098
97.5,110.7332,7.8223,0.4892,-7.8477
