percent stance,6B,6A,force,dFdt
0,41.2214,0.7496,0,0
2.5,0,17.6149,-0.076,-3.8204
5,0,73.6098,0.1925,13.4944
7.5,0,66.6924,0.5109,16.0004
10,0,58.7023,0.784,13.7241
12.5,0,40.9003,0.9992,10.8129
15,0,79.9418,1.1784,9.0043
17.5,1.1838,103.0575,1.5143,16.8798
20,0.3082,69.0888,1.9785,23.3261
22.5,0,68.6597,2.2527,13.7789
25,0,63.0405,2.4917,12.0105
27.5,0,40.973,2.6821,9.5701
30,0,20.2185,2.7378,2.7978
32.5,0,0,2.5479,-9.5424
35,0,0,2.1162,-21.6954
37.5,0,0,1.8019,-15.7957
40,0,0,1.6778,-6.231
42.5,1.3243,0,1.4426,-11.8229
45,6.9298,0,1.2131,-11.5294
47.5,41.6589,2.5154,0.9827,-11.5804
50,8.2459,0.7007,0.6805,-15.1842
52.5,0,4.9312,0.6008,-4.0054
55,0,59.8159,0.7612,8.0613
57.5,0,52.8499,1.0681,15.4224
60,0,23.7344,1.2976,11.531
62.5,0,30.6572,1.3248,1.3672
65,0,79.9008,1.4824,7.92
67.5,0,33.7437,1.8006,15.9901
70,0,2.1719,1.8619,3.0776
72.5,0,0.6164,1.7138,-7.4397
75,0,8.3208,1.6508,-3.1684
77.5,0,0.3082,1.5787,-3.6212
80,4.8559,0,1.4276,-7.5958
82.5,32.8233,0.4414,1.1556,-13.6673
85,26.7805,0.7496,0.7958,-18.0801
87.5,3.9378,0,0.5254,-13.5842
90,10.1952,0,0.4054,-6.0313
92.5,9.0948,0,0.2466,-7.9804
95,0,0,0.2362,-0.5238
97.5,86.1503,1.2327,0.152,-4.2295
