percent stance,6Blarge,6A,force,dFdt,6Ball
0,0,0,0,0,30.981
2.5,0,0,0.0115,0.5769,44.0398
5,15.9216,0,0.0563,2.2503,59.2092
7.5,0,0,0.0442,-0.6085,11.5989
10,0,0,0.0364,-0.3882,46.762
12.5,27.5199,0,0.1073,3.5627,131.0604
15,98.0975,0,0.2057,4.9435,206.689
17.5,121.4428,0,0.36,7.754,222.3165
20,75.3703,0,0.5918,11.6488,177.2755
22.5,25.1996,0,0.744,7.6489,128.3627
25,23.6838,0,0.8124,3.4385,119.5556
27.5,5.5848,0,0.8518,1.9772,72.4506
30,12.0763,0,0.8069,-2.2577,77.0639
32.5,45.7226,0,0.8387,1.598,133.2003
35,34.6357,0,0.9549,5.8379,115.6846
37.5,63.0157,0.549,1.0454,4.5491,135.1904
40,22.4719,0,1.1508,5.2951,84.245
42.5,15.2753,0,1.1504,-0.0193,98.0321
45,45.5973,0,1.1976,2.3759,112.0675
47.5,1.6471,0,1.2339,1.8216,33.7297
50,6.6677,0,1.1512,-4.1539,69.0107
52.5,46.7331,0,1.2219,3.5503,124.2513
55,2.1961,0,1.2812,2.9802,35.3748
57.5,0,0,1.1784,-5.1668,0.4831
60,0,0,1.1159,-3.1401,6.0303
62.5,0,0,1.0544,-3.0915,1.1271
65,0,0,0.944,-5.5428,0.6441
67.5,5.1525,0,0.9123,-1.597,68.0088
70,116.5528,0,1.0624,7.5428,164.5782
72.5,121.3411,0,1.3489,14.3952,179.9538
75,79.1202,0,1.636,14.4297,155.1561
77.5,25.5108,0.549,1.8048,8.4806,101.3884
80,1.098,0,1.6642,-7.065,8.094
82.5,0,32.8276,1.2489,-20.8665,0.9657
85,0,29.7954,0.8574,-19.6725,1.098
87.5,0,18.5954,0.5593,-14.9823,0
90,0,29.8284,0.3297,-11.5381,0.549
92.5,0.7101,25.7928,0.1566,-8.6971,2.9061
95,0,9.2588,0.0322,-6.2511,0.549
97.5,0,13.3851,-0.0587,-4.5665,1.098
